endYear,alive.Female,alive.Male,infected.Female,infected.Male,newInfections.Female,newInfections.Male,prevalence.Female,prevalence.Male,incidence.Female,incidence.Male,percInfectedTreated.Female,percInfectedTreated.Male,percNewInfectFromAcute,percNewInfectFromAcute.Female,percNewInfectFromAcute.Male,sampleCoverage.25p,sampleCoverage.25p.Female,sampleCoverage.25p.Male,sampleCoverage.50p,sampleCoverage.50p.Female,sampleCoverage.50p.Male
0.5,3188,2990,1,0,0,0,0.0313676286072773,0.0334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3179,2975,1,0,0,0,0.0314564328405159,0.0336134453781513,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,3186,2972,1,1,0,1,0.0313873195229127,0.0336473755047106,0,0.0336587007741501,0,0,0,0,0,0,0,0,0,0,0
2,3188,2968,2,2,1,1,0.0627352572145546,0.0673854447439353,0.0313873195229127,0.0337154416722859,0,0,0,0,0,0,0,0,0,0,0
2.5,3200,2980,2,3,0,1,0.0625,0.0671140939597315,0,0.0335908632851864,0,0,0,0,0,0,0,0,0,0,0
3,3208,2983,2,5,0,2,0.0623441396508728,0.0670465973851827,0,0.0671591672263264,0,0,0,0,0,0,0,0,0,0,0
3.5,3218,2997,4,8,2,4,0.124300807955252,0.133466800133467,0.0622277535780958,0.133824021411843,0,0,33.3333333333333,50,25,0,0,0,0,0,0
4,3224,2997,5,11,1,3,0.155086848635236,0.166833500166833,0.0310655483069276,0.100468854655057,0,0,25,0,33.3333333333333,0,0,0,0,0,0
4.5,3239,3014,5,14,0,3,0.154368632293918,0.165892501658925,0,0.1,0,0,0,0,0,0,0,0,0,0,0
5,3241,3026,6,15,1,1,0.185128046899105,0.198281559814937,0.0309119010819165,0.0332115576220525,0,0,0,0,0,0,0,0,0,0,0
5.5,3261,3050,8,18,2,3,0.245323520392518,0.262295081967213,0.0614817091915155,0.0989445910290238,0,0,20,0,33.3333333333333,0,0,0,0,0,0
6,3278,3069,8,20,0,2,0.24405125076266,0.260671228413164,0,0.0655952771400459,0,0,0,0,0,0,0,0,0,0,0
6.5,3300,3082,11,21,3,1,0.333333333333333,0.356911096690461,0.0912131346913956,0.0326690623979092,0,0,0,0,0,0,0,0,0,0,0
7,3304,3100,12,21,1,0,0.36319612590799,0.387096774193548,0.0303766707168894,0,0,0,0,0,0,0,0,0,0,0,0
7.5,3328,3119,11,22,0,1,0.330528846153846,0.352677140109009,0,0.0322893122376493,0,0,0,0,0,0,0,0,0,0,0
8,3343,3126,16,25,5,4,0.478612025127131,0.511836212412028,0.150285542530809,0.128990648178007,0,0,11.1111111111111,20,0,0,0,0,0,0,0
8.5,3356,3144,17,27,1,5,0.506555423122765,0.540712468193384,0.0299490865528601,0.160565189466924,0,0,16.6666666666667,0,20,0,0,0,0,0,0
9,3369,3146,17,29,2,4,0.504600771742357,0.540368722186904,0.0597014925373134,0.128493414712496,0,0,0,0,0,0,0,0,0,0,0
9.5,3404,3160,17,29,1,1,0.499412455934195,0.537974683544304,0.0295508274231678,0.0319693094629156,0,0,50,100,0,0,0,0,0,0,0
10,3422,3183,19,32,2,5,0.555230859146698,0.596921143575243,0.0588235294117647,0.158881474420083,0,0,0,0,0,0,0,0,0,0,0
10.5,3446,3202,21,34,3,4,0.609402205455601,0.655840099937539,0.0876936568254896,0.126462219411951,0,0,0,0,0,0,0,0,0,0,0
11,3464,3220,23,40,2,8,0.663972286374134,0.714285714285714,0.058173356602676,0.251968503937008,0,0,10,0,12.5,0,0,0,0,0,0
11.5,3462,3223,24,41,3,3,0.693240901213172,0.744647843623953,0.0873362445414847,0.0944287063267233,0,0,0,0,0,0,0,0,0,0,0
12,3462,3235,26,46,5,7,0.751010976314269,0.80370942812983,0.145687645687646,0.219918316054037,0,0,8.33333333333333,20,0,0,0,0,0,0,0
12.5,3491,3245,27,47,1,2,0.773417358922945,0.832049306625578,0.0288933834151979,0.06265664160401,0,0,0,0,0,0,0,0,0,0,0
13,3510,3263,30,47,5,2,0.854700854700855,0.919399325773828,0.143884892086331,0.0623052959501558,0,0,0,0,0,0,0,0,0,0,0
13.5,3529,3287,33,49,4,6,0.935109096061207,1.00395497414055,0.114514743773261,0.185873605947955,0,0,0,0,0,0,0,0,0,0,0
14,3546,3306,34,53,3,4,0.95882684715172,1.02843315184513,0.0855188141391106,0.123228589032656,0,0,0,0,0,0,0,0,0,0,0
14.5,3565,3317,37,54,5,4,1.03786816269285,1.11546578233343,0.141884222474461,0.122812404052809,0,0,0,0,0,0,0,0,0,0,0
15,3586,3345,41,56,6,6,1.14333519241495,1.22571001494768,0.169491525423729,0.182982616651418,0,0,8.33333333333333,16.6666666666667,0,0,0,0,0,0,0
